name;deviceType;functionalClassification;url;imageUrl;Compliance with Cyber Resilience Act;Compliance Support;Separate Data Protection Information from Terms & Conditions;Secure Default Settings;Resetting to Secure Default Settings;Data Minimization;Legal Grounds;Control of Sent Data;Control of Data Recipient;Special Categories of Data;Actors Involved in the Processing;Availability of Contracts for Joint Controllers/Processors;Clear and Transparent Personal Data Processing Information;Recipient of Information;App Permissions Required;Clarification of Data Processing Process;Data Sharing;Encryption Status for User Passwords;Optional Security Review;Authentication Information;Intuitive Privacy Control Interface;Visual Representation of Privacy Flow;User Controlled Data Processing Location;Contextual Data Disclosure;Additional Transparency Mechanisms;Different Granularity of Privacy Settings of UI;Profiling;Subject Rights;Listing Non-Personally Identifiable Information;(Security) Update Status Display;Exploration Functionality;Investigation Functionality;Being Notified When Something Needs Attention;User Control;User Interaction and Engagement;Privacy Enhancing Technologies;Data Portability;Backend Service Demands;Updateability;History of Data Leakage;Privacy Breaches;Open Source;TLS Certificate Validation;Duration and the Company/Entity of Data Being Stored;Purpose of Data Being Collected;Frequency of Data Being Sent;Data Processing Outside the EU;Location of Data Being Sent To;Controllable Discovery Function;On-device Data Processing;Account Required for Device Bootstrapping;Ensure Informed Consent to Changes in Data Processing
ALECTO Video-Babyphone SMARTBABY5;Babymonitor;Security and Safety;https://www.otto.de/p/alecto-video-babyphone-smartbaby5-wlan-babyphone-mit-kamera-mit-rueckmeldefunktion-smart-life-app-fuer-ios-und-android-C1805933300/#variationId=1805933301;none;is not compliant with CRA;not applicable;data protection information is separated from terms and conditions;not findable;not findable;account credentials, device metadata;contract necessity, legitimate interest, consent ;opt-out in privacy settings (app personalization) ;not findable;Tuya warns collection only with explicit consent ;Tuya Smart Inc. & affiliates (controllers), third-party processors ;not findable;Privacy Policy: https://developerapp.tuyaus.com/protocol/1479c88e9cc0101a?lang=en;third-party service providers, affiliates – as listed in policy ;not findable;users are informed about the processing of data;with service providers, affiliates, legal requests ;User passwords are stored encrypted;not findable;account login required for app ;not findable;not findable;not findable;not findable;not findable;not findable;Tuya states it uses no automated decision-making ;full GDPR rights supported via app or email ;not findable;not findable;not findable;not findable;not findable;the product can not manage multiple authorized users;Smart Life (Tuya) mobile app ;communication encryption, secure auth ;users can export personal data via app ;Tuya cloud backend required ;2 years minimum software updates ;No documented provider leak found;No documented provider breach found;not findable;the product does use secure communication channels;retained while account active + legal needs ;service delivery, personalization, compliance, security ;not findable;global data storage ;various global locations, governed by SCCs ;not findable;the product does not process data locally by default;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
BOIFUN Babyphone Babyphone mit Kamera;Babymonitor;Security and Safety;https://www.otto.de/p/boifun-babyphone-babyphone-mit-kamera-2k-3mp-5-zoll-wlan-video-babyfon-mit-app-wlan-babyfon-video-5-baby-monitor-ir-nachtsicht-bewegungsverfolgung-4-zoom-weinen-bewegungs-geraeuscherkennung-temperaturerkennung-zwei-wege-audio-app-funktion-fuer-mehrerebenutzer-automatisch-verfolgen-S0JB008N/#variationId=S0JB008N1P2X;none;is not compliant with CRA;not applicable;not findable;not findable;not findable;not findable;not findable;not applicable (no app, no network transmission);not applicable;not findable;not applicable (no data transmission via network);not applicable;not applicable (no privacy policy for a device without connectivity);not applicable;not applicable;not findable;not applicable;not applicable;not findable;not applicable;not findable;not findable;not applicable;not findable;not findable;not findable;not findable;not findable;not applicable;not findable;not findable;not findable;not findable;not applicable;not applicable (no app / no web UI);not applicable;not applicable;not applicable;not findable;No documented provider leak found;No documented provider breach found;not findable;not applicable;not findable;not findable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;the product does not provide the functionality to compare current and new Privacy Policy
PHILIPS AVENT Video-Babyphone Connected SCD923/26;Babymonitor;Security and Safety;https://www.otto.de/p/philips-avent-video-babyphone-connected-scd923-26-1769208929/#variationId=1769208930;none;is not compliant with CRA;not applicable;data protection information is separated from terms and conditions;encrypted Secure Connect System by default;products can be reset to private default settings;account credentials, usage logs;contract necessity, consent;not findable;admin can add guest users;not findable;Philips Consumer Lifestyle B.V. (controller);not findable;Privacy Policy: https://info.philips-digital.com/PrivacyNoticeBaby?locale=de&country=DE;app, Philips systems;not findable;users are informed about the processing of data;not findable;not findable;not findable;app account login required;not findable;not findable;not findable;not findable;not findable;not findable;not findable;not findable;not findable;firmware update notifications provided;not findable;not findable;admin & guest notifications, e.g., privacy mode enabled;the product can manage multiple authorized users;Baby Monitor+ app, parent unit;Secure Connect System with encrypted links;not findable;app and monitor connectivity over Wi-Fi/Internet;firmware updates available;No documented provider leak found;Respironics / MOVEit incident, 2023 : Files stolen from third-party MOVEit server used by Philips, >400,000 individuals affected;not findable;the product does use secure communication channels;not findable;connectivity, monitoring, notifications;instant real-time streaming as needed;not findable;not findable;not findable;the product does not process data locally by default;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
Video-Babyphone & Owlet Dream Sock - geprüftes Baby-Pulsoximeter;Babymonitor;Security and Safety;https://www.otto.de/p/owlet-baby-care-de-video-babyphone-owlet-dream-sock-geprueftes-baby-pulsoximeter-aufzeichnung-der-vitalwerte-via-app-bild-in-bild-funktion-S0BBB0ZJ/#variationId=S0BBB0ZJCJBA;none;is not compliant with CRA;the product does not help the owner perform his obligations towards third parties;data protection information is not separated from terms and conditions;not findable;not findable;not findable;not findable;partially - cookies may be refused;not findable;not findable;not findable - only 'App' and unspecified 'partners';not findable;Privacy Policy: https://owletcare.com/pages/privacy-policy;App itself, partners (with consent), judicial authorities (on request);not findable;users are informed about the processing of data;partners with consent, authorities under law;User passwords are stored encrypted;not findable;username + password;not findable;not findable;not findable;not findable;not findable;not findable;not findable;not findable;keywords, activities, transaction info (excluded from policy scope);not findable;not findable;not findable;not findable;not findable;mobile app, cookies for personalization;password encryption, general security measures;not findable;servers of app and affiliated companies;not findable;No documented provider leak found;No documented provider breach found;not findable;not findable;stored on app's and affiliates' servers, may be transferred internationally;to provide services, to send product/service info, personalization, ads (with cookies);not findable;explicitly stated transfer abroad;not specified - 'outside your country/region';not findable;not findable;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
APPLE HomePod Lautsprecher;Basestation;Network and Utilities;https://www.otto.de/p/apple-homepod-lautsprecher-bluetooth-wlan-2-gen-2023-1714626437/#variationId=1714626438;none;is not compliant with CRA;the product does not help the owner perform his obligations towards third parties;data protection information is separated from terms and conditions;on-device processing by default;products can be reset to private default settings;minimal data, only wake-word pushes captured;not findable;can disable 'Hey Siri' and location services;not findable;not findable;Apple Inc. (controller), Apple servers (processor);not findable;Privacy Policy: https://www.apple.com/legal/privacy/data/en/ask-siri-dictation/ and https://support.apple.com/de-de/guide/homepod/apd99ee29027/homepod;Apple servers;not findable;users are informed about the processing of data;not shared for marketing;not findable;not findable;not findable;not findable;not findable;not findable;the product does provide contextualized information when asking for user decisions;not findable;not findable;no;via Apple Data & Privacy site;not findable;not findable;not findable;not findable;not findable;not applicable;HomePod device and Home app;on-device processing, random identifiers;via Apple Account tools;Apple servers;receives software updates;In 2019, contractors were found to be reviewing Siri recordings, Apple apologized and overhauled the program. Not a classic “breach” but a documented privacy exposure. (https://www.forbes.com/sites/jeanbaptiste/2019/08/28/apple-apologizes-for-eavesdropping-on-customers-keeping-siri-recordings-without-permission/);multiple incidents involving user data exposure / internal review of audio;not findable;the product does use secure communication channels;transcripts stored up to 2 years, Apple Inc.;improve Siri & dictation, personalize;only upon 'Hey Siri' activation;data goes to Apple servers globally;Apple servers (global);not findable;the product does not process data locally by default;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
GOOGLE Google Nest Mini 2.;Basestation;Network and Utilities;https://www.otto.de/p/google-nest-hub-mini-2-generation-multimedia-lautsprecher-charcoal-multiroom-lautsprecher-CS002P00Z/#variationId=S0Q2J0GF3X5S;none;is not compliant with CRA;the product does not help the owner perform his obligations towards third parties;data protection information is separated from terms and conditions;not findable;not findable;not findable;not findable;user can choose to share sensor data with third-party apps/services via explicit permission;third-party apps/services (if user gives permission);not findable;Controller: Google (Nest/Google Nest devices),  Data processors: unspecified service providers;not findable;Privacy Policy: https://safety.google/intl/de/nest/;Google (Nest), unspecified third-party apps/services (with permission);not findable;users are informed about the processing of data;sensor data and device usage shared with Google and third parties only with permission;not findable;independent third-party security validation (industry standards);via Google Account credentials;not findable;not findable;not findable;the product does provide contextualized information when asking for user decisions;privacy commitments, published sensors guide, ad-data separation policies;not findable;not findable;not findable;not findable;not findable;not findable;not findable;not findable;not findable;voice-activated device with Google Assistant interface;not findable;not findable;Google Account and Google Cloud infrastructure;automatic security and software updates (at least five years support);No provider leak (but 2018/2019 large-scale credential-stuffing attacks);No documented provider breach found;not findable;not findable;not findable;to help in-home assistance, sensor-based functionality, and not used for ad personalization (sensor/video/audio);not findable;yes, data may be transferred to the U.S. (international transfers);servers in U.S. and other countries where Nest/Google operate;not findable;the product does not process data locally by default;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
MEATER Block;Fleischthermometer;Sensors;https://www.otto.de/p/meater-kochthermometer-meater-block-premium-kabelloses-smart-thermometer-4-stk-meater-4-messfuehler-bluetooth-wlan-app-nutzung-spuelmaschinen-fest-CS020O08X;none;is not compliant with CRA;not applicable;data protection information is separated from terms and conditions;not findable;not findable;varies by purpose – collected only for intended functionalities;Legitimate business interest, consent, contractual obligations;opt-out via 'Do Not Sell or Share' link and GPC support;not findable;not collected – none specified;Apption Labs Limited (controller), service providers;not findable;Privacy Policy: https://meater.com/privacy-policy;not findablemarketing partners, payment processors, SaaS providers, cloud storage, support providers;not findable;users are informed about the processing of data;shared with affiliates, service providers, for legal or business purposes;not findable;not findable;account creation/login implied, details not specified;not findable;not findable;not findable;not findable;not findable;not findable;No automated processing or profiling;rights to access, delete, correct, restrict, opt-out and lodge complaint supported;not findable;not findable;not findable;not findable;breach notifications via email;not findable;websites, applications, cloud services;encrypted data transmission, firewalls, intrusion detection;users can request data transfer;not findable;not findable;No documented provider leak found;No documented provider breach found;not findable;the product does use secure communication channels;retained as necessary for purposes, Apption Labs is responsible;service delivery, order processing, personalization, support, product improvement, marketing, security;not findable;transferred to UK and other countries with safeguards;UK (Apption Labs HQ) and other jurisdictions per policy;not findable;not findable;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
BLUETENS EMS-Gerät Connected;Gesundheit;Health and Wellness;https://www.otto.de/p/bluetens-ems-geraet-connected-mit-8-wiederverwendbaren-elektroden-S0CBU0AN/#variationId=S0CBU0ANRDYI;none;is not compliant with CRA;not applicable;data protection information is separated from terms and conditions;not findable;not findable;only data required for services and offerings;contract performance, legitimate interest, consent;notifications can be unsubscribed at any time;not findable;health data (hosted under French HDS standards);Bluetens France SAS (controller), sub-processors for payments, marketing, IT;not findable;Privacy Policy: https://www.bluetens.com/de/content/22-vertraulichkeit;financial institutions, customs, authorities, internal teams;not findable;users are informed about the processing of data;with partners (shipping, payment, marketing, support);not findable;not findable;not findable;not findable;not findable;not transferred outside EU;not findable;not findable;not findable;not findable;full GDPR rights supported (access, erasure, portability, etc.);not findable;not findable;not findable;not findable;not findable;not findable;website and iOS/Android app;physical and IT security measures in place;user can request data transfer;not findable;not findable;No documented provider leak found;No documented provider breach found;not findable;not findable;personal and customer data kept 3 years post-contract, invoices for 10 years;customer management, orders, fraud prevention, marketing, personalization;not findable;no data transferred outside EU;not findable;not findable;not findable;not findable;the product does not provide the functionality to compare current and new Privacy Policy
BEURER Oberarm-Blutdruckmessgerät BM 81 easyLock;Gesundheit;Health and Wellness;https://www.otto.de/p/beurer-oberarm-blutdruckmessgeraet-bm-81-easylock-innovative-manschette-zum-festdrehen-einfache-messung-ohne-schlaeuche-C1577017508/#variationId=1577018001;none;is not compliant with CRA;the product does not help the owner perform his obligations towards third parties;data protection information is separated from terms and conditions;not findable;not findable;personal data types: gender, birth date, size, pregnancy, activity, pulse, blood pressure, blood sugar, ECG, weight, medication, oxygen saturation, sleep, temperature, drinking amount, comments, measurement input type, timestamp, email, password, name;consent (Art. 9(2)(a) in connection with Art. 6(1)(a) GDPR),  contract fulfillment (App usage, Newsletter);user can control sharing of activity and sleep data to Google Fit;user can select Google Fit as recipient (via toggle in app);health data: gender, pregnancy, blood pressure, blood sugar, ECG, medication, pulse oximetry, sleep, etc.;Controller: Beurer GmbH,  Data processors: IT service providers, hosting providers, newsletter providers, customer service providers;not findable;Privacy Policy: https://legaltext.connect.beurer.com/#/HealthManagerPro/privacy/de;Beurer GmbH departments,  IT/hosting providers,  newsletter providers,  customer service providers,  optionally Google Fit;Contacts, Phone status/identity, SMS, USB storage, Location, Full network access, Network connections, Bluetooth pairing, Bluetooth settings, Active apps, Prevent sleep mode, Vibrate;users are informed about the processing of data;data shared with IT providers, hosting providers, newsletter providers, service providers, optionally Google Fit;not findable;not findable;email + password;not findable;not findable;not findable;the product does provide contextualized information when asking for user decisions;privacy policy, app consent requests, Google Fit toggle;not findable;not findable;information about access, rectification, erasure, restriction, portability, withdrawal of consent, complaint;not findable;not findable;not findable;not findable;not findable;not findable;mobile app interface;not findable;users may request data portability under GDPR (Art. 20);Beurer Cloud,  App Stores (Apple/Google);not findable;No documented provider leak found;No documented provider breach found;not findable;not findable;data stored locally until app deletion,  cloud data until account deletion,  responsible entity: Beurer GmbH;health management, training planning, statistics, personalized advertising (via IDFA), newsletter distribution;not findable;no third-country transfer intended;Google Fit (USA, if user enables it);not findable;the product does not process data locally by default;the product does not need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
Berger & Schröter Smart Pet Feeder Futterautomat, Tierkamera;Haustier Futtermaschine;Health and Wellness;https://www.conrad.de/de/p/berger-schroeter-smart-pet-feeder-futterautomat-tierkamera-weiss-1-st-3339503.html;none;is not compliant with CRA;the product does not help the owner perform his obligations towards third parties;data protection information is not separated from terms and conditions;not findable;not findable;not findable;not findable;partially – cookies may be refused;not findable;not findable;not findable – only 'App' and unspecified 'partners';not findable;Privacy Policy but translator needed: https://www.jianshu.com/p/ba6548cfc7d8;App itself, partners (with consent), judicial authorities (on request);not findable;users are informed about the processing of data;partners with consent, authorities under law;User passwords are stored encrypted;not findable;username + password;not findable;not findable;not findable;not findable;not findable;not findable;not findable;not findable;keywords, activities, transaction info (excluded from policy scope);not findable;not findable;not findable;not findable;not findable;mobile app, cookies for personalization;password encryption, general security measures;not findable;servers of app and affiliated companies;not findable;No documented provider leak found;No documented provider breach found;not findable;not findable;stored on app’s and affiliates’ servers, may be transferred internationally;to provide services, to send product/service info, personalization, ads (with cookies);not findable;explicitly stated transfer abroad;not specified – 'outside your country/region';not findable;not findable;the product does need an account to be used;the product does not provide the functionality to compare current and new Privacy Policy
